"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "7dbd90cbbf0ff2b2e71220e41502029a" "site/built/CODE_OF_CONDUCT.md" "2024-06-11"
"LICENSE.md" "f02fdcc64a49eab73e5b2d1255561742" "site/built/LICENSE.md" "2024-06-11"
"config.yaml" "29f23adbc5e578ee6e6ac9f658c4f812" "site/built/config.yaml" "2024-06-11"
"index.md" "a02c9c785ed98ddd84fe3d34ddb12fcd" "site/built/index.md" "2024-06-11"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2024-06-11"
"episodes/introduction.Rmd" "6370d5592eae179125841d442e98df54" "site/built/introduction.md" "2024-06-11"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2024-06-11"
"learners/acknowledgements.md" "c84756768f1c1c35c63ef82cfbc56eee" "site/built/acknowledgements.md" "2024-06-11"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2024-06-11"
"learners/setup.md" "2f7b949f8cc84e7144c088d72e8d9c5e" "site/built/setup.md" "2024-06-11"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2024-06-11"
"renv/profiles/lesson-requirements/renv.lock" "06e8bdca5a2593032cad473c15af14ce" "site/built/renv.lock" "2024-06-11"
